Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
ERR022872_1	38.19413531898298	44.0	75.99858633248967	18.181818181818183	2915820.0		
ERR022872_2	35.79200025963341	45.0	75.9880661357697	9.090909090909092	2915820.0		
ERR022872_STAR_aln						57.8	1685398.0
ERR022874_1	39.295337243087324	46.0	75.96743842799597	9.090909090909092	6680390.0		
ERR022874_2	36.850549652064245	46.0	75.8774456281744	9.090909090909092	6680390.0		
ERR022874_STAR_aln						52.96	3538085.0
ERR022876_1	44.009088341066835	44.0	75.99645210454052	18.181818181818183	15940154.0		
ERR022876_2	44.65513359876054	45.0	75.99824738205164	18.181818181818183	15940154.0		
ERR022876_STAR_aln						57.42	9152258.0
ERR022877_1	74.38930545597613	41.0	75.98940831169786	18.181818181818183	30513549.0		
ERR022877_2	73.16117456571219	41.0	75.98967307932617	18.181818181818183	30513549.0		
ERR022877_STAR_aln						73.74	22501021.0
ERR022878_1	70.49382782124539	41.0	75.99294955164942	18.181818181818183	21547424.0		
ERR022878_2	69.55572520404336	41.0	75.9907431162073	18.181818181818183	21547424.0		
ERR022878_STAR_aln						74.1	15966219.0
ERR022879_1	82.08998730751438	38.0	75.98834590319481	18.181818181818183	29220025.0		
ERR022879_2	78.28432782273467	38.0	75.9718419474316	18.181818181818183	29220025.0		
ERR022879_STAR_aln						66.0	19286009.0
ERR022880_1	63.30572283342599	38.0	75.98935693065242	18.181818181818183	25218571.0		
ERR022880_2	59.03429636943267	38.0	75.95220208948398	27.27272727272727	25218571.0		
ERR022880_STAR_aln						68.83	17357657.0
ERR022881_1	37.11552963780921	38.0	75.98809609402188	9.090909090909092	4881927.0		
ERR022881_2	2.680915791520036	38.0	75.95419247358676	18.181818181818183	4881927.0		
ERR022881_STAR_aln						62.58	3055327.0
ERR022882_1	62.92091582601029	37.0	75.9915262161225	27.27272727272727	22181236.0		
ERR022882_2	59.48288865689419	37.0	75.9642220117941	27.27272727272727	22181236.0		
ERR022882_STAR_aln						55.66	12347022.0
ERR022883_1	35.784048063203684	37.0	75.9916225073612	9.090909090909092	5048766.0		
ERR022883_2	0.0010100023695827076	38.0	75.96509939260406	18.181818181818183	5048766.0		
ERR022883_STAR_aln						60.2	3039156.0
ERR1674583_1	23.22345107560625	38.0	99.99872603017796	10.0	21670843.0		
ERR1674583_2	17.887474811530097	38.0	99.99478331322875	10.0	21670843.0		
ERR1674583_STAR_aln						78.4	16990907.0
ERR1674584_1	19.76307098467386	37.0	99.99872139916508	0.0	16414818.0		
ERR1674584_2	19.332905718760586	38.0	99.99485623294757	10.0	16414818.0		
ERR1674584_STAR_aln						81.71	13413303.0
ERR1674585_1	33.91068326579966	38.0	99.99872478800478	20.0	19363055.0		
ERR1674585_2	17.971903913630584	39.0	99.99494945399887	10.0	19363055.0		
ERR1674585_STAR_aln						69.39	13436137.0
ERR1674586_1	23.133956860592093	38.0	99.99886633489515	10.0	21689827.0		
ERR1674586_2	17.94166790805278	38.0	99.9955804165704	10.0	21689827.0		
ERR1674586_STAR_aln						78.41	17007634.0
ERR1674587_1	19.00693072574549	37.0	99.99887522705376	0.0	14755867.0		
ERR1674587_2	18.703173531335167	38.0	99.99619825795394	10.0	14755867.0		
ERR1674587_STAR_aln						82.58	12185146.0
ERR1674588_1	33.936924666394546	38.0	99.9988824020671	20.0	19376378.0		
ERR1674588_2	17.83491291426303	39.0	99.99548605007602	10.0	19376378.0		
ERR1674588_STAR_aln						69.38	13442697.0
ERR1674589_1	91.49805890470465	42.0	99.99861473543397	20.0	12663285.0		
ERR1674589_2	87.07771665373065	43.0	99.98812314498173	10.0	12663285.0		
ERR1674589_STAR_aln						21.78	2758568.0
ERR1674590_1	27.912892154591987	43.0	99.99879940761731	10.0	19902675.0		
ERR1674590_2	26.50034864849276	45.0	99.98739345339257	10.0	19902675.0		
ERR1674590_STAR_aln						30.5	6070142.0
ERR1674591_1	22.777037242079885	42.0	99.99882768279095	10.0	19075042.0		
ERR1674591_2	21.53118301750048	43.0	99.98737009333976	10.0	19075042.0		
ERR1674591_STAR_aln						28.55	5446507.0
ERR1674592_1	21.54233576704577	41.0	99.99881852841835	10.0	18505735.0		
ERR1674592_2	20.86211434496397	43.0	99.98747058682079	10.0	18505735.0		
ERR1674592_STAR_aln						17.68	3271620.0
ERR1674593_1	88.79628945313944	41.0	99.99878428418606	20.0	21547799.0		
ERR1674593_2	83.283762978514	43.0	99.98590788785435	10.0	21547799.0		
ERR1674593_STAR_aln						14.53	3131215.0
ERR1674594_1	28.256358958782556	43.0	99.99878592206389	10.0	20193926.0		
ERR1674594_2	27.11103653681711	45.0	99.98622437261581	10.0	20193926.0		
ERR1674594_STAR_aln						30.5	6159553.0
ERR1674595_1	22.942801792372748	42.0	99.99876858092506	10.0	19347597.0		
ERR1674595_2	21.850475466947813	43.0	99.98605604613327	10.0	19347597.0		
ERR1674595_STAR_aln						28.55	5524366.0
ERR1674596_1	22.493916527525954	41.0	99.99877887082488	10.0	18789167.0		
ERR1674596_2	21.18063274632223	43.0	99.98626623521947	10.0	18789167.0		
ERR1674596_STAR_aln						17.68	3322644.0
ERR225719_1	22.3921758357114	42.0	99.99804806754364	10.0	6939277.0		
ERR225719_2	22.71452295653559	42.0	99.99949821861846	10.0	6939277.0		
ERR225719_STAR_aln						77.88	5404062.0
ERR225720_1	21.835108261630594	41.0	99.99820130940321	10.0	6613700.0		
ERR225720_2	21.309385246097477	41.0	99.99953944085762	20.0	6613700.0		
ERR225720_STAR_aln						69.78	4615293.0
ERR225721_1	23.28249341350724	40.0	99.99818821960953	20.0	10372118.0		
ERR225721_2	23.579216327843454	40.0	99.99952150563655	20.0	10372118.0		
ERR225721_STAR_aln						65.85	6830333.0
ERR225722_1	23.53664479553376	42.0	99.99819498626496	10.0	10763353.0		
ERR225722_2	23.116719486401365	41.0	99.99951613591044	10.0	10763353.0		
ERR225722_STAR_aln						71.76	7724260.0
ERR225723_1	21.251696055425242	42.0	99.99821800467645	10.0	7863657.0		
ERR225723_2	21.135539211306607	42.0	99.99952642898845	10.0	7863657.0		
ERR225723_STAR_aln						73.44	5774740.0
ERR225724_1	25.003727719612456	42.0	99.99823246120454	10.0	11422663.0		
ERR225724_2	25.319622785953072	42.0	99.99953644784934	10.0	11422663.0		
ERR225724_STAR_aln						72.58	8290001.0
ERR225725_1	23.45848191626743	44.0	99.99820805268305	10.0	11895439.0		
ERR225725_2	22.36116607339669	44.0	99.9995345274773	10.0	11895439.0		
ERR225725_STAR_aln						65.27	7763927.0
ERR225726_1	26.39314668739489	44.0	99.99820186298375	10.0	7170755.0		
ERR225726_2	26.084801567191434	44.0	99.99954370216247	10.0	7170755.0		
ERR225726_STAR_aln						64.71	4640131.0
ERR225727_1	23.13480052897833	43.0	99.99823245593976	10.0	10692237.0		
ERR225727_2	22.48963375068557	43.0	99.99954359410476	10.0	10692237.0		
ERR225727_STAR_aln						66.58	7118985.0
ERR225728_1	21.225017298332602	43.0	99.99818048581777	10.0	6286843.0		
ERR225728_2	21.14258441115014	43.0	99.99952058608748	10.0	6286843.0		
ERR225728_STAR_aln						68.29	4293029.0
ERR225729_1	22.39099519090182	43.0	99.99821684851655	10.0	9713140.0		
ERR225729_2	21.872196876737917	43.0	99.99953465099854	10.0	9713140.0		
ERR225729_STAR_aln						69.23	6724765.0
ERR225730_1	20.706734578578022	42.0	99.99819787816806	10.0	6395794.0		
ERR225730_2	20.997002593314676	42.0	99.99952859644948	10.0	6395794.0		
ERR225730_STAR_aln						68.19	4361102.0
ERR337915_1	15.455908952242766	43.0	99.99967019119688	10.0	5530477.0		
ERR337915_2	14.918951288713345	43.0	99.99613451063986	10.0	5530477.0		
ERR337915_STAR_aln						81.07	4483318.0
ERR337928_1	19.581898743340545	44.0	99.99928443163265	10.0	1324821.0		
ERR337928_2	19.070567822444147	44.0	99.99434716086174	10.0	1324821.0		
ERR337928_STAR_aln						85.57	1133598.0
ERR337940_1	16.232303123002595	44.0	99.99612787717378	10.0	5827811.0		
ERR337940_2	15.628697356728466	44.0	99.99923384612164	10.0	5827811.0		
